2026-02-01 00:00:05 | ERROR | search | Unhandled exception type=ValueError message=unexpected None (env=prod, region=ap-southeast-1, ip=17.27.69.161, request_id=tyjcj90h9zfswx73, trace_id=jdsmnw6y8xds3ot3vizkp9cc, ua="curl/8.4.0")
2026-02-01 00:00:08 | ERROR | kms | Upstream service unavailable dependency=cdn-edge (env=prod, region=eu-west-1, ip=107.198.211.161, request_id=77r65hjqksfcu857, trace_id=slvl2ocw2iwwbxz6clwiu0q9, ua="PostmanRuntime/7.36.0")
2026-02-01 00:00:31 | ERROR | db | Service dependency not responding dependency=redis (env=prod, region=ap-southeast-1, ip=144.47.20.179, request_id=tvmyjsy2wlde7498, trace_id=uzq76ecnajo7un2vwr082o3b, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:00:41 | ERROR | scheduler | DB timeout while fetching user profile user_id=4643 (env=dev, region=me-south-1, ip=92.20.172.76, request_id=xrzyscepz2i8ljdz, trace_id=x7kdggbvcvler2reefrl5uit, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:00:42 | ERROR | analytics | Data validation error: missing required field field=currency (env=prod, region=us-east-1, ip=170.207.248.7, request_id=vyq5lr5t2jxbbs1u, trace_id=lqrtqtryd94uo6wnsx0v9uva, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:00:52 | ERROR | payments | Write operation failed: storage quota exceeded bucket=prod-uploads (env=dev, region=ap-southeast-1, ip=81.82.22.59, request_id=6fm2bzlku7vp1ig2, trace_id=guzmut9murohfgedoiv10qv7, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:01:15 | ERROR | storage | Data validation error: missing required field field=token (env=staging, region=us-east-1, ip=200.15.38.44, request_id=lp52rwa9hrco4yff, trace_id=mw24r5o9ooykhs08lo3zrseg, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:01:17 | ERROR | search | Upstream service unavailable dependency=postgres (env=staging, region=eu-west-1, ip=13.39.77.154, request_id=66bp49qo002u29bf, trace_id=qdxf8i5pn9slfbm6ohnvuz92, ua="PostmanRuntime/7.36.0")
2026-02-01 00:01:20 | ERROR | gateway | Upstream service unavailable dependency=kms (env=prod, region=ap-southeast-1, ip=74.189.142.212, request_id=ir7auju562bwhouv, trace_id=5vttn3c3jorkfmhin9vrlllq, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:01:26 | ERROR | analytics | Unhandled exception type=IOError message=null value (env=prod, region=us-east-1, ip=126.155.30.150, request_id=7m16kswutz2wbic5, trace_id=l0el8ynvrqdxg6t2onlahwox, ua="curl/8.4.0")
2026-02-01 00:01:31 | ERROR | cdn | Write operation failed: storage quota exceeded bucket=staging-uploads (env=prod, region=eu-west-1, ip=230.145.187.253, request_id=75iv24sicbpqnynl, trace_id=d6w1sshl9ii11mce42gf3efz, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:01:44 | ERROR | orders | Unhandled exception type=MemoryError message=unexpected None (env=prod, region=ap-southeast-1, ip=170.50.198.38, request_id=upagk57cdlqfbu0e, trace_id=ql3739cl270k6m43yljvzt0x, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:02:18 | ERROR | cache | Connection refused dependency=redis (env=dev, region=me-south-1, ip=9.25.69.253, request_id=gnlx2589c97dt8i8, trace_id=bp3u2gyy2po4tp8ba0psyi97, ua="PostmanRuntime/7.36.0")
